"","SPECIES","COMMON","SCIENTIFIC","CONVERSION"
"100","3374","LONGTAIL BASS","Hemanthias leptus",1.18
"101","4478","TILEFISH,SAND","Malacanthus plumieri",1.12
"102","2347","MULLETS","Mugilidae",1.14
"103","1427","CREOLE-FISH","Paranthias furcifer",1.18
"104","3481","SHARK,FINETOOTH","Carcharhinus isodon",1.39
"105","3475","SHARK,UNC,FINS","Squaliformes",1
"106","1425","GROUPER,YELLOWMOUTH","Mycteroperca interstitialis",1.18
"107","3110","SAND PERCH","Diplectrum formosum",1
"108","2310","MOONFISH,ATLANTIC","Selene setapinnis",1
"109","2420","BLACK BELLIED ROSEFISH","Helicolenus dactylopterus",1
"110","1445","GRUNT,FRENCH","Haemulon flavolineatum",1.04
"111","4590","TRIPLETAIL","Lobotes surinamensis",1
"112","3521","SHARK,DOGFISH,SPINY","Squalus acanthias",1.39
"113","3295","SCUPS OR PORGIES,UNC","Sparidae",1.04
"114","1428","GRAYSBY","Epinephelus cruentatus",1.18
"115","0330","BONITO,ATLANTIC","Sarda sarda",1.15
"116","1180","FILEFISH (dup 4560 recode)","Balistidae",1.04
"117","1081","DRUM,BLACK","Pogonias cromis",1.14
"118","4652","TUNA,BLUEFIN,UNC","Thunnus thynnus",1.25
"119","3314","PINFISH,SPOTTAIL","Diplodus holbrooki",1.04
"120","1807","AFRICAN POMPANO","Alectis ciliaris",1
"121","0931","DRUMS","Sciaenidae",1.14
"122","3263","SPINYCHEEK SCORPIONFISH","Neomerinthe hemingwayi",1
"123","3523","SHARK,SCALLOPED HAMMERHEAD","Sphyrna lewini",1
"124","3524","SHARK,GREAT HAMMERHEAD","Sphyrna mokarran",1.39
"125","1443","MARGATE,BLACK","Anisotremus surinamensis",1.04
"126","3580","SHARK,MAKO UNC","Isurus",1.39
"127","3768","SNAPPERS,UNC","Lutjanidae",1.11
"128","4656","TUNA,UNC","Thunnus",1.25
"129","1140","EELS,UNC","Anguilliformes",1.11
"130","4560","TRIGGERFISHES","Balistidae",1.04
"131","3493","SHARK,SILKY","Carcharhinus falciformis",1.39
"132","3500","SHARK,THRESHER UNC","Alopias",1.39
"133","2990","RUDDERFISH (SEA CHUBS)","Kyphosidae",1
"134","5290","FINFISHES,UNC,BAIT,ANIMAL FOOD","Osteichthyes",1
"135","3754","SNAPPER,DOG","Lutjanus jocu",1.11
"136","3503","SHARK,DOGFISH,UNC","Squalidae",1.2
"137","3680","SKIPPERS","Tylosurus",1
"138","2550","PERMIT","Trachinotus falcatus",1
"139","0120","ANGLERFISH,UNCL","Lophius americanus",2
"140","7360","SHRIMP,ATLANTIC & GULF,MARINE,UNC","Pandalus borealis",1.6
"141","3505","SHARK,BONITO(SHORTFIN MAKO)","Isurus oxyrinchus",1.39
"142","3760","SNAPPER,GRAY","Lutjanus griseus",1.12
"143","3371","SPANISH FLAG","Gonioplectrus hispanus",1
"144","1446","GRUNT,TOMTATE","Haemulon aurolineatum",1.04
"145","1410","GROUPERS","Serranidae",1.18
"146","3756","WENCHMAN","Pristipomoides aquilonaris",1.11
"147","1800","JACK,HORSE-EYE","Caranx latus",1.18
"148","3771","SNAPPER,SCHOOLMASTER","Lutjanus apodus",1.11
"149","3522","SHARK,SMOOTH HAMMERHEAD","Sphyrna zygaena",1
"150","7860","OCTOPUS","Octopodidae",1.11
"151","4654","TUNA,SKIPJACK","Euthynnus pelamis",1.25
"152","4320","SWORDFISH","Xiphias gladius",1.39
"153","1350","GOATFISHES","Mullidae",1
"154","4380","TAUTOG","Tautoga onitis",1
"155","0192","BLACK DRIFTFISH","Hyperoglyphe bythites",1
"156","2860","RAYS,UNC","Rajiformes",1
"157","3510","SHARK,BIGEYE THRESHER","Alopias superciliosus",1.39
"158","0820","COD,ATLANTIC,UNC","Gadus morhua",1.12
"159","3447","SEA TROUT,SPOTTED","Cynoscion nebulosus",1.15
"160","7190","CRAB,UNC","Decapoda",1
"161","3474","SHAD,UNC","Alosa sapidissima",1.14
"162","1138","EELS,CUSK","Ophidiidae",1.11
"163","3362","SEA BASS,ROCK","Centropristis philadelphica",1.18
"164","1730","HICKORY SHAD","Alosa mediocris",1.14
"165","0960","CUSK","Brosme brosme",1.12
"166","1142","EEL,CONGER","Conger oceanicus",1.11
"167","0147","GLASSEYE SNAPPER","Priacanthus cruentatus",1.04
"168","2765","PUDDINGWIFE (WRASSE)","Halichoeres radiatus",1
"169","0030","AMBERJACK","Seriola",1.04
"170","2162","MACKEREL,UNC. (Scomber)","Scomber",1.15
"171","1141","EEL,AMERICAN","Anguilla rostrata",1.11
"172","1143","EEL,MORAYS","Muraenidae",1.11
"173","3305","PORGY,GRASS","Calamus arctifrons",1.04
"174","3574","SHARK,THRESHER PELAGIC","Alopias pelagicus",1.39
"175","0090","ANGELFISHES","Chaetodontidae",1
"176","5131","WRECKFISH","Polyprion americanus",1.11
"177","3508","SHARK,UNC","Chondrichthyes",1.39
